season,date,away_team,away_point_spread,away_money_line,away_money_line
2019-20,10/22/19,ORL,6.5,230,230
2019-20,10/22/19,LAL,-3.5,-180,-180
2019-20,10/23/19,DET,7,240,240
2019-20,10/23/19,CLE,9.5,400,400
2019-20,10/23/19,CHI,-3.5,-170,-170
2019-20,10/23/19,BOS,5.5,190,190
2019-20,10/23/19,MEM,6.5,240,240
2019-20,10/23/19,MIN,3.5,142,142
2019-20,10/23/19,NYK,11,525,525
2019-20,10/23/19,WAS,9,350,350
2019-20,10/23/19,OKC,9,375,375
2019-20,10/23/19,SAC,-1,-115,-115
2019-20,10/23/19,DEN,-1.5,-120,-120
2019-20,10/24/19,ATL,1.5,105,105
2019-20,10/24/19,MIL,1.5,100,100
2019-20,10/24/19,LAC,0,-110,-110
2019-20,10/25/19,TOR,2.5,120,120
2019-20,10/25/19,MIN,-5,-220,-220
2019-20,10/25/19,NYK,8,280,280
2019-20,10/25/19,WAS,8.5,300,300
2019-20,10/25/19,DAL,2,110,110
2019-20,10/25/19,CHI,-2,-125,-125
2019-20,10/25/19,PHX,12,650,650
2019-20,10/25/19,POR,-1,-120,-120
2019-20,10/25/19,UTA,3.5,140,140
2019-20,10/26/19,MIA,11.5,550,550
2019-20,10/26/19,PHI,-4.5,-190,-190
2019-20,10/26/19,BOS,-5.5,-240,-240
2019-20,10/26/19,ORL,-2.5,-135,-135
2019-20,10/26/19,IND,-4.5,-190,-190
2019-20,10/26/19,TOR,-3,-155,-155
2019-20,10/26/19,ORL,12,650,650
2019-20,10/26/19,WAS,11.5,650,650
2019-20,10/26/19,SAC,9,350,350
2019-20,10/26/19,LAC,-10,-550,-550
2019-20,10/27/19,GSW,1,100,100
2019-20,10/27/19,BRK,-4,-180,-180
2019-20,10/27/19,MIA,7,240,240
2019-20,10/27/19,POR,2.5,125,125
2019-20,10/27/19,CHO,13,800,800
2019-20,10/28/19,IND,-2,-130,-130
2019-20,10/28/19,CHI,-2,-135,-135
2019-20,10/28/19,PHI,-6.5,-280,-280
2019-20,10/28/19,ORL,5,175,175
2019-20,10/28/19,GSW,2.5,120,120
2019-20,10/28/19,CLE,15.5,1200,1200
2019-20,10/28/19,OKC,10,425,425
2019-20,10/28/19,POR,6,200,200
2019-20,10/28/19,UTA,-5,-190,-190
2019-20,10/28/19,DEN,-5.5,-220,-220
2019-20,10/28/19,CHO,15.5,1200,1200
2019-20,10/29/19,ATL,8.5,300,300
2019-20,10/29/19,DAL,5.5,185,185
2019-20,10/29/19,MEM,11.5,575,575
2019-20,10/30/19,NYK,9.5,375,375
2019-20,10/30/19,MIN,7,250,250
2019-20,10/30/19,CHI,-2,-130,-130
2019-20,10/30/19,DET,9.5,375,375
2019-20,10/30/19,IND,3,130,130
2019-20,10/30/19,MIL,-3.5,-165,-165
2019-20,10/30/19,HOU,-8,-350,-350
2019-20,10/30/19,POR,-1.5,-120,-120
2019-20,10/30/19,CHO,7.5,275,275
2019-20,10/30/19,LAC,7,230,230
2019-20,10/30/19,PHX,5.5,185,185
2019-20,10/31/19,MIA,-6.5,-270,-270
2019-20,10/31/19,DEN,-4,-180,-180
2019-20,10/31/19,SAS,5,170,170
2019-20,11/1/19,HOU,-4.5,-190,-190
2019-20,11/1/19,MIL,-4.5,-190,-190
2019-20,11/1/19,CLE,7.5,260,260
2019-20,11/1/19,NYK,10.5,500,500
2019-20,11/1/19,DET,3.5,142,142
2019-20,11/1/19,LAL,-1.5,-125,-125
2019-20,11/1/19,UTA,-5,-210,-210
2019-20,11/1/19,SAS,-7,-300,-300
2019-20,11/2/19,ORL,2,110,110
2019-20,11/2/19,BRK,-4,-180,-180
2019-20,11/2/19,DEN,-4,-180,-180
2019-20,11/2/19,PHX,-3,-150,-150
